User Type,Bug ID,Bug Title,Module,Severity,Priority,Failure Category,Notes
Standard User,STD_001,Product name is written in methods,Products,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Standard User,STD_002,Cart is not showing a visible click,Cart,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Standard User,STD_003,Checkout allows invalid characters in name/postal code,Checkout,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Standard User,STD_004,Cannot increase quantity for selected item,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Standard User,STD_005,Reset app state button not working,Settings,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Standard User,STD_006,Swag Labs logo does not navigate home,Navigation,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Standard User,STD_007,Cart persists across users after logout/login,Cart,Critical,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_001,Filter not working,Products,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_002,All product images are same,Products,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_003,Product name in method format,Products,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_004,Checkout last name cannot be entered,Checkout,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_005,First name changes when typing last name,Checkout,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_006,Cannot increase quantity,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_007,Some items cannot be added,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_008,Cannot remove item from home page,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Problem User,PRB_009,Reset app state not working,Settings,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Performance Glitch,PERF_001,Filter not working,Products,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Performance Glitch,PERF_002,Buttons respond very late,Performance,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Performance Glitch,PERF_003,Cannot increase quantity,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Performance Glitch,PERF_004,Issue adding some items,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Locked Out User,LCK_001,Error message not defined properly,Login,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Error User,ERR_001,Cannot remove items from home page,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Error User,ERR_002,Filtering not working,Products,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Error User,ERR_003,Description in method format,Products,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Error User,ERR_004,Cannot add last name at checkout,Checkout,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Error User,ERR_005,Invalid characters allowed in checkout,Checkout,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Error User,ERR_006,Cannot checkout button not working,Checkout,Critical,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Error User,ERR_007,Some items cannot be added,Cart,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Visual User,VIS_001,Description written in method format,Products,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Visual User,VIS_002,Cart icon visually misplaced,UI,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Visual User,VIS_003,Checkout button misplaced,UI,Medium,Medium,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Visual User,VIS_004,Invalid characters allowed in checkout details,Checkout,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
Visual User,VIS_005,Still getting checked out unexpectedly,Checkout,High,High,Application Defect,"Includes common defects such as invalid checkout validation, cart visibility issue and Swag Labs logo navigation where applicable"
